Field	Time	LHEE:X	LHEE:Y	LHEE:Z	RHEE:X	RHEE:Y	RHEE:Z	LFEO:X	LFEO:Y	LFEO:Z	LFEP:X	LFEP:Y	LFEP:Z	LFEL:X	LFEL:Y	LFEL:Z	LFEA:X	LFEA:Y	LFEA:Z	LTIO:X	LTIO:Y	LTIO:Z	LTIP:X	LTIP:Y	LTIP:Z	LTIL:X	LTIL:Y	LTIL:Z	LTIA:X	LTIA:Y	LTIA:Z	LTOO:X	LTOO:Y	LTOO:Z	LTOP:X	LTOP:Y	LTOP:Z	LTOL:X	LTOL:Y	LTOL:Z	LTOA:X	LTOA:Y	LTOA:Z	PELO:X	PELO:Y	PELO:Z	PELP:X	PELP:Y	PELP:Z	PELL:X	PELL:Y	PELL:Z	PELA:X	PELA:Y	PELA:Z	RFEO:X	RFEO:Y	RFEO:Z	RFEP:X	RFEP:Y	RFEP:Z	RFEL:X	RFEL:Y	RFEL:Z	RFEA:X	RFEA:Y	RFEA:Z	RTIO:X	RTIO:Y	RTIO:Z	RTIP:X	RTIP:Y	RTIP:Z	RTIL:X	RTIL:Y	RTIL:Z	RTIA:X	RTIA:Y	RTIA:Z	RTOO:X	RTOO:Y	RTOO:Z	RTOP:X	RTOP:Y	RTOP:Z	RTOL:X	RTOL:Y	RTOL:Z	RTOA:X	RTOA:Y	RTOA:Z	TRXO:X	TRXO:Y	TRXO:Z	TRXP:X	TRXP:Y	TRXP:Z	TRXL:X	TRXL:Y	TRXL:Z	TRXA:X	TRXA:Y	TRXA:Z
1	0.0000	0	0	0	272.427307	-4000.836182	159.609970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179.570175	-3665.277588	1356.986816	179.649155	-3662.419922	1161.342285	375.189453	-3669.524658	1357.003784	183.816574	-3469.679199	1359.845459
2	0.0100	0	0	0	271.646759	-3983.423584	154.518250	115.652351	-3775.364502	498.949310	114.693619	-3790.595703	870.684387	-256.369202	-3770.979492	498.169525	120.001823	-3403.654053	514.190735	140.449875	-3808.254395	72.439064	116.925323	-3777.052490	477.051056	-254.880203	-3901.542480	56.648140	48.805931	-3413.841309	36.695415	107.401512	-3662.501465	59.836468	115.189644	-3709.583008	60.733688	60.384056	-3670.326660	57.334515	104.786446	-3662.025879	107.492203	180.913757	-3790.430664	867.689880	186.940598	-3751.604736	994.310181	48.477234	-3789.472656	873.699829	180.068634	-3663.670654	828.861328	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	178.529205	-3660.415283	1357.465088	178.974899	-3657.745850	1161.806641	374.154480	-3664.908447	1357.849365	183.016663	-3464.807861	1360.143921
3	0.0200	0	0	0	270.800049	-3961.296387	148.110321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180.695450	-3784.510254	868.180054	186.286362	-3745.483398	994.758362	48.241714	-3783.897461	873.841553	179.613983	-3657.810059	829.163330	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	177.239990	-3654.249023	1357.987061	178.136017	-3651.818604	1162.308472	372.875366	-3659.034668	1358.823486	182.014755	-3458.626953	1360.438599
4	0.0300	0	0	0	269.989685	-3935.230957	140.650238	114.126740	-3782.344238	499.363617	114.165802	-3777.533691	871.239624	-251.349030	-3713.484619	498.511261	182.991638	-3416.899170	494.629028	140.778503	-3811.296387	73.346443	115.497269	-3783.833008	477.456909	-259.446747	-3875.250977	52.654633	78.495209	-3411.478760	42.278343	106.767334	-3665.766113	60.738750	114.858368	-3712.796387	61.645294	59.794476	-3673.893066	58.364792	104.273804	-3665.276367	108.400833	180.399429	-3776.982910	868.608032	185.500412	-3737.823975	995.166382	47.928619	-3776.796631	873.889648	179.017258	-3650.322021	829.473022	325.419922	-3740.573730	505.217743	246.633041	-3776.432617	865.976624	117.326477	-4038.407471	430.167603	28.552887	-3522.285889	462.081818	296.541229	-3908.025146	159.940765	323.768921	-3750.146240	485.478546	9.763458	-4097.646973	275.889099	75.953156	-3642.018066	49.382782	0	0	0	0	0	0	0	0	0	0	0	0	175.765137	-3647.000244	1358.489136	177.171402	-3644.850098	1162.785522	371.414368	-3652.104248	1359.838989	180.853867	-3451.358154	1360.675171
5	0.0400	0	0	0	269.315002	-3906.195557	132.464233	114.262917	-3777.894287	499.705475	113.790024	-3768.954590	871.353271	-253.387817	-3722.831299	497.913177	169.353088	-3410.347900	490.934570	140.465393	-3809.902344	73.371094	115.608780	-3779.537842	477.808350	-257.259827	-3891.064209	55.020515	61.054070	-3412.913574	38.685192	105.947426	-3664.500732	60.656544	114.207001	-3711.501221	61.593105	59.007919	-3672.798340	58.213451	103.378868	-3664.002441	108.314590	180.028290	-3768.160645	868.904358	184.635086	-3728.929443	995.459290	47.543518	-3768.460938	873.820129	178.286957	-3641.522217	829.710693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	174.176895	-3638.943115	1358.908936	176.125977	-3637.101563	1163.175171	369.844604	-3644.370117	1360.806274	179.585510	-3443.274902	1360.803711
6	0.0500	0	0	0	268.852722	-3875.103760	123.868790	114.301071	-3773.499023	499.998108	113.347832	-3759.483398	871.309692	-254.669449	-3729.640137	497.395355	158.226837	-3404.785645	486.193298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	179.587692	-3758.428955	869.014038	183.747177	-3719.156250	995.571655	47.094070	-3759.249268	873.623169	177.439301	-3631.805664	829.791565	321.269897	-3709.176514	505.516693	245.827591	-3757.375244	866.718262	110.850449	-4004.565918	422.150696	23.758026	-3488.036133	472.885895	290.611908	-3841.493408	143.163315	319.526642	-3716.698975	484.916382	-40.230804	-3975.106934	219.945221	139.244888	-3525.615723	40.624245	337.605927	-3715.426514	70.091316	325.991974	-3757.578125	91.592354	290.938690	-3708.884033	57.709827	329.781494	-3691.881348	112.023880	172.540756	-3630.333008	1359.193359	175.040939	-3628.814941	1163.424072	368.232422	-3636.068604	1361.648071	178.256699	-3434.631836	1360.783936
7	0.0600	0	0	0	268.648834	-3842.697021	115.137383	114.284866	-3769.235596	500.237457	112.845688	-3749.471436	871.090942	-255.373886	-3733.650146	496.906433	149.996979	-3400.090576	480.702942	140.366760	-3809.300049	73.588753	115.621437	-3771.288818	478.374359	-256.517090	-3899.535889	57.800037	52.165573	-3413.925293	31.069340	104.758636	-3664.134033	61.188225	113.358017	-3711.075195	62.034565	57.870506	-3672.764648	58.918926	102.373795	-3663.711426	108.856537	179.084488	-3748.153564	868.900391	182.885483	-3708.833740	995.454529	46.588135	-3749.501709	873.298706	176.493103	-3621.549561	829.642883	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170.908249	-3621.371582	1359.303467	173.949249	-3620.178223	1163.493896	366.629547	-3627.388428	1362.306396	176.905945	-3425.630859	1360.589600
8	0.0700	0	0	0	268.717621	-3809.516357	106.492355	114.252846	-3765.071045	500.427063	112.290878	-3739.200195	870.688843	-255.686523	-3735.147949	496.376038	144.385025	-3396.015137	474.800140	140.174713	-3808.079590	73.586494	115.579819	-3767.272949	478.577789	-253.880249	-3912.136963	60.140495	38.175644	-3415.912598	27.877674	104.048271	-3663.036621	61.245117	112.815247	-3709.947021	62.072853	57.191036	-3671.833740	58.977062	101.666595	-3662.640625	108.913803	178.525558	-3737.625000	868.542419	182.086853	-3698.218506	995.076599	46.032501	-3739.487549	872.851501	175.467041	-3611.054443	829.210693	309.820007	-3671.038086	504.761688	244.760254	-3736.049805	866.396240	52.244843	-3924.878418	412.789307	47.787323	-3405.374023	505.379730	286.811066	-3769.110840	126.376953	308.527252	-3676.548096	483.502197	-73.907776	-3838.821533	166.379852	209.427429	-3418.182861	40.126038	328.024933	-3627.965332	83.714638	317.958984	-3674.361816	94.668091	280.398468	-3618.666260	79.335938	325.945862	-3616.353760	130.988052	169.315613	-3612.202148	1359.215088	172.875031	-3611.323486	1163.359741	365.073395	-3618.463623	1362.744629	175.560211	-3416.414551	1360.206909
9	0.0800	0	0	0	269.044678	-3775.920410	98.110382	114.227875	-3760.921631	500.570343	111.688957	-3728.869141	870.102112	-255.737885	-3734.660645	495.750610	140.806503	-3392.315430	468.780731	139.973969	-3806.797119	73.560371	115.544334	-3763.268066	478.735443	-250.686707	-3924.798828	62.683102	24.017525	-3418.416748	24.844147	103.370605	-3661.868896	61.276379	112.290237	-3708.750732	62.086628	56.541126	-3670.817383	59.027653	101.009918	-3661.494141	108.946289	177.916534	-3727.052490	867.930786	181.376724	-3687.493164	994.419922	45.432892	-3729.399170	872.288879	174.377289	-3600.537842	828.460266	300.595398	-3646.982910	504.847412	244.144196	-3725.235352	865.759399	-2.844910	-3845.251465	414.397186	90.108109	-3340.170654	538.447205	285.628693	-3730.866943	118.161873	299.763855	-3651.643555	483.362946	-87.100098	-3754.146240	137.638397	258.768677	-3366.134521	40.079773	343.894989	-3600.445068	63.061958	328.371674	-3644.019287	78.366997	297.843842	-3587.064697	54.448669	340.394989	-3583.235107	108.509705	167.785446	-3602.912598	1358.914795	171.834793	-3602.326904	1163.008667	363.586182	-3609.377441	1362.942627	174.236801	-3407.071289	1359.633667
10	0.0900	0	0	0	269.592194	-3742.129395	90.133301	114.218590	-3756.696289	500.665894	111.045074	-3718.602051	869.334229	-255.606689	-3732.722168	495.005188	138.646698	-3388.794678	462.861145	139.734848	-3805.403809	73.507973	115.522141	-3759.184326	478.845917	-246.745346	-3938.034912	65.545265	9.089676	-3421.614746	21.941582	102.719521	-3660.577881	61.252533	111.770226	-3707.434814	62.055927	55.913506	-3669.656738	59.038200	100.392868	-3660.209961	108.924149	177.262939	-3716.563721	867.063904	180.770630	-3676.765625	993.476929	44.794327	-3719.352539	871.617615	173.236816	-3590.132813	827.371887	292.392944	-3620.685791	506.101501	243.481064	-3714.525635	864.793701	-50.892426	-3745.912598	426.529114	152.317444	-3281.023193	575.861938	285.298096	-3692.430908	110.753113	292.004547	-3624.613037	484.458191	-93.715546	-3667.062988	112.951218	309.862030	-3319.527588	42.639908	374.115814	-3595.799316	31.921242	348.540253	-3629.677246	55.840073	332.797302	-3577.388672	13.816998	370.565674	-3566.012207	70.314713	166.330124	-3593.547607	1358.397949	170.839828	-3593.224609	1162.436157	362.180420	-3600.173584	1362.894165	172.946884	-3397.645996	1358.873169
